COORDS FOR: 484007018 tensor([[190, 179]])
COORDS FOR: 484007025 tensor([[195, 174]])
COORDS FOR: 484007029 tensor([[162, 146]])
COORDS FOR: 484007013 tensor([[313, 280]])
COORDS FOR: 484007021 tensor([[277, 266]])
COORDS FOR: 484007009 tensor([[439, 394]])
COORDS FOR: 484007012 tensor([[255, 373]])
COORDS FOR: 484005035 tensor([[788, 680]])
COORDS FOR: 484005037 tensor([[653, 671]])
COORDS FOR: 484006001 tensor([[935, 505]])
COORDS FOR: 484005009 tensor([[ 701, 1279]])
COORDS FOR: 484005012 tensor([[ 673, 1243]])
COORDS FOR: 484007017 tensor([[653, 891]])
